orderDateId,requiredDateId,shippedDateId,productCode,orderNumber,orderLineNumber,customerNumber,employeeNumber,officeCode,status,quantityOrdered,priceEach
Row0,Row500,Row1000,S18_1749,10100.0,3.0,363.0,1216.0,2,Shipped,30.0,136.0
Row0,Row500,Row1000,S18_1749,10100.0,3.0,363.0,1216.0,2,Shipped,30.0,136.0
Row0,Row500,Row1000,S18_1749,10100.0,3.0,363.0,1216.0,2,Shipped,30.0,136.0
Row0,Row500,Row1000,S18_2248,10100.0,2.0,363.0,1216.0,2,Shipped,50.0,55.09
Row0,Row500,Row1000,S18_2248,10100.0,2.0,363.0,1216.0,2,Shipped,50.0,55.09
Row0,Row500,Row1000,S18_2248,10100.0,2.0,363.0,1216.0,2,Shipped,50.0,55.09
Row0,Row500,Row1000,S18_4409,10100.0,4.0,363.0,1216.0,2,Shipped,22.0,75.46
Row0,Row500,Row1000,S18_4409,10100.0,4.0,363.0,1216.0,2,Shipped,22.0,75.46
Row0,Row500,Row1000,S18_4409,10100.0,4.0,363.0,1216.0,2,Shipped,22.0,75.46
Row0,Row500,Row1000,S24_3969,10100.0,1.0,363.0,1216.0,2,Shipped,49.0,35.29
Row0,Row500,Row1000,S24_3969,10100.0,1.0,363.0,1216.0,2,Shipped,49.0,35.29
Row0,Row500,Row1000,S24_3969,10100.0,1.0,363.0,1216.0,2,Shipped,49.0,35.29
Row1,Row501,Row1001,S18_2325,10101.0,4.0,128.0,1504.0,7,Shipped,25.0,108.06
Row1,Row501,Row1001,S18_2325,10101.0,4.0,128.0,1504.0,7,Shipped,25.0,108.06
Row1,Row501,Row1001,S18_2325,10101.0,4.0,128.0,1504.0,7,Shipped,25.0,108.06
Row1,Row501,Row1001,S18_2325,10101.0,4.0,128.0,1504.0,7,Shipped,25.0,108.06
Row1,Row501,Row1001,S18_2795,10101.0,1.0,128.0,1504.0,7,Shipped,26.0,167.06
Row1,Row501,Row1001,S18_2795,10101.0,1.0,128.0,1504.0,7,Shipped,26.0,167.06
Row1,Row501,Row1001,S18_2795,10101.0,1.0,128.0,1504.0,7,Shipped,26.0,167.06
Row1,Row501,Row1001,S18_2795,10101.0,1.0,128.0,1504.0,7,Shipped,26.0,167.06
Row1,Row501,Row1001,S24_1937,10101.0,3.0,128.0,1504.0,7,Shipped,45.0,32.53
Row1,Row501,Row1001,S24_1937,10101.0,3.0,128.0,1504.0,7,Shipped,45.0,32.53
Row1,Row501,Row1001,S24_1937,10101.0,3.0,128.0,1504.0,7,Shipped,45.0,32.53
Row1,Row501,Row1001,S24_1937,10101.0,3.0,128.0,1504.0,7,Shipped,45.0,32.53
Row1,Row501,Row1001,S24_2022,10101.0,2.0,128.0,1504.0,7,Shipped,46.0,44.35
Row1,Row501,Row1001,S24_2022,10101.0,2.0,128.0,1504.0,7,Shipped,46.0,44.35
Row1,Row501,Row1001,S24_2022,10101.0,2.0,128.0,1504.0,7,Shipped,46.0,44.35
Row1,Row501,Row1001,S24_2022,10101.0,2.0,128.0,1504.0,7,Shipped,46.0,44.35
Row2,Row502,Row1002,S18_1342,10102.0,2.0,181.0,1286.0,3,Shipped,39.0,95.55
Row2,Row502,Row1002,S18_1342,10102.0,2.0,181.0,1286.0,3,Shipped,39.0,95.55
Row2,Row502,Row1002,S18_1342,10102.0,2.0,181.0,1286.0,3,Shipped,39.0,95.55
Row2,Row502,Row1002,S18_1367,10102.0,1.0,181.0,1286.0,3,Shipped,41.0,43.13
Row2,Row502,Row1002,S18_1367,10102.0,1.0,181.0,1286.0,3,Shipped,41.0,43.13
Row2,Row502,Row1002,S18_1367,10102.0,1.0,181.0,1286.0,3,Shipped,41.0,43.13
Row3,Row503,Row1003,S10_1949,10103.0,11.0,121.0,1504.0,7,Shipped,26.0,214.3
Row3,Row503,Row1003,S10_1949,10103.0,11.0,121.0,1504.0,7,Shipped,26.0,214.3
Row3,Row503,Row1003,S10_1949,10103.0,11.0,121.0,1504.0,7,Shipped,26.0,214.3
Row3,Row503,Row1003,S10_1949,10103.0,11.0,121.0,1504.0,7,Shipped,26.0,214.3
Row3,Row503,Row1003,S10_4962,10103.0,4.0,121.0,1504.0,7,Shipped,42.0,119.67
Row3,Row503,Row1003,S10_4962,10103.0,4.0,121.0,1504.0,7,Shipped,42.0,119.67
Row3,Row503,Row1003,S10_4962,10103.0,4.0,121.0,1504.0,7,Shipped,42.0,119.67
Row3,Row503,Row1003,S10_4962,10103.0,4.0,121.0,1504.0,7,Shipped,42.0,119.67
Row3,Row503,Row1003,S12_1666,10103.0,8.0,121.0,1504.0,7,Shipped,27.0,121.64
Row3,Row503,Row1003,S12_1666,10103.0,8.0,121.0,1504.0,7,Shipped,27.0,121.64
Row3,Row503,Row1003,S12_1666,10103.0,8.0,121.0,1504.0,7,Shipped,27.0,121.64
Row3,Row503,Row1003,S12_1666,10103.0,8.0,121.0,1504.0,7,Shipped,27.0,121.64
Row3,Row503,Row1003,S18_1097,10103.0,10.0,121.0,1504.0,7,Shipped,35.0,94.5
Row3,Row503,Row1003,S18_1097,10103.0,10.0,121.0,1504.0,7,Shipped,35.0,94.5
Row3,Row503,Row1003,S18_1097,10103.0,10.0,121.0,1504.0,7,Shipped,35.0,94.5
Row3,Row503,Row1003,S18_1097,10103.0,10.0,121.0,1504.0,7,Shipped,35.0,94.5
Row3,Row503,Row1003,S18_2432,10103.0,2.0,121.0,1504.0,7,Shipped,22.0,58.34
Row3,Row503,Row1003,S18_2432,10103.0,2.0,121.0,1504.0,7,Shipped,22.0,58.34
