"orderNumber","orderDate","requiredDate","shippedDate","status","customerNumber","productCode","quantityOrdered","priceEach","orderLineNumber"
10100,"2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",363,"S18_1749",30,136,3
10100,"2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",363,"S18_2248",50,55.09,2
10100,"2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",363,"S18_4409",22,75.46,4
10100,"2024-04-18T09:19:21","2024-08-07T13:16:46","2024-04-21T08:36:11","Shipped",363,"S24_3969",49,35.29,1
10101,"2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",128,"S18_2325",25,108.06,4
10101,"2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",128,"S18_2795",26,167.06,1
10101,"2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",128,"S24_1937",45,32.53,3
10101,"2024-06-12T07:58:24","2023-12-23T09:02","2024-07-04T14:07:01","Shipped",128,"S24_2022",46,44.35,2
10102,"2023-11-16T23:16:25","2024-04-01T04:04:47","2024-02-08T09:10:59","Shipped",181,"S18_1342",39,95.55,2
10102,"2023-11-16T23:16:25","2024-04-01T04:04:47","2024-02-08T09:10:59","Shipped",181,"S18_1367",41,43.13,1
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S10_1949",26,214.3,11
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S10_4962",42,119.67,4
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S12_1666",27,121.64,8
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_1097",35,94.5,10
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_2432",22,58.34,2
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_2949",27,92.19,12
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_2957",35,61.84,14
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_3136",25,86.92,13
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_3320",46,86.31,16
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_4600",36,98.07,5
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S18_4668",41,40.75,9
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S24_2300",36,107.34,1
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S24_4258",25,88.62,15
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S32_1268",31,92.46,3
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S32_3522",45,63.35,7
10103,"2024-05-07T07:50:40","2024-05-16T10:58:02","2023-10-09T12:20:24","Shipped",121,"S700_2824",42,94.07,6
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S12_3148",34,131.44,1
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S12_4473",41,111.39,9
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S18_2238",24,135.9,8
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S18_2319",29,122.73,12
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S18_3232",23,165.95,13
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S18_4027",38,119.2,3
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S24_1444",35,52.02,6
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S24_2840",44,30.41,10
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S24_4048",26,106.45,5
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S32_2509",35,51.95,11
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S32_3207",49,56.55,4
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S50_1392",33,114.59,7
10104,"2024-01-13T20:32:44","2024-01-04T18:06:27","2024-05-17T04:37:16","Shipped",141,"S50_1514",32,53.31,2
10105,"2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",145,"S10_4757",50,127.84,2
10105,"2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",145,"S12_1108",41,205.72,15
10105,"2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",145,"S12_3891",29,141.88,14
10105,"2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",145,"S18_3140",22,136.59,11
10105,"2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",145,"S18_3259",38,87.73,13
10105,"2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",145,"S18_4522",41,75.48,10
10105,"2023-09-19T02:27:59","2023-12-02T16:34:51","2024-09-06T03:52:45","Shipped",145,"S24_2011",43,117.97,9
